member_no,date,amount,source,reference,description
ILS24-F00040,2024-03-05,50000,mkoba,SAV-ILS24-F00040-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2024-03-08,40000,mkoba,SAV-ILS24-F00040-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2024-03-22,50000,mkoba,SAV-ILS24-F00040-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2024-03-22,120000,mkoba,SAV-ILS24-F00040-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2025-01-06,780000,mkoba,SAV-ILS24-F00040-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2025-10-23,500000,nmb,SAV-ILS24-F00040-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2025-11-11,800000,nmb,SAV-ILS24-F00040-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2025-12-03,200000,nmb,SAV-ILS24-F00040-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2025-12-03,300000,nmb,SAV-ILS24-F00040-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2026-01-04,200000,nmb,SAV-ILS24-F00040-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2026-03-04,500000,nmb,SAV-ILS24-F00040-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2026-04-09,400000,nmb,SAV-ILS24-F00040-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2026-04-16,86306,nmb,SAV-ILS24-F00040-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00040,2026-05-03,400000,nmb,SAV-ILS24-F00040-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00041,2024-03-08,100000,mkoba,SAV-ILS24-F00041-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00041,2024-03-08,130000,mkoba,SAV-ILS24-F00041-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00041,2024-04-01,70000,mkoba,SAV-ILS24-F00041-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00041,2024-04-01,120000,mkoba,SAV-ILS24-F00041-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00041,2025-09-10,1500000,nmb,SAV-ILS24-F00041-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00041,2025-10-27,734958,nmb,SAV-ILS24-F00041-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00042,2024-04-27,250000,mkoba,SAV-ILS24-F00042-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00042,2024-04-11,100000,mkoba,SAV-ILS24-F00042-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00042,2024-08-26,450000,mkoba,SAV-ILS24-F00042-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00042,2024-12-31,200000,mkoba,SAV-ILS24-F00042-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00042,2026-01-15,2000000,nmb,SAV-ILS24-F00042-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00042,2026-04-30,10000000,nmb,SAV-ILS24-F00042-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00043,2024-03-06,50000,mkoba,SAV-ILS24-F00043-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00043,2024-03-30,150000,mkoba,SAV-ILS24-F00043-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00043,2024-12-23,300000,mkoba,SAV-ILS24-F00043-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00043,2025-01-02,500000,nmb,SAV-ILS24-F00043-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00043,2025-12-31,200000,nmb,SAV-ILS24-F00043-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00043,2025-12-31,300000,nmb,SAV-ILS24-F00043-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00043,2026-02-25,500000,nmb,SAV-ILS24-F00043-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00043,2026-03-18,1000000,nmb,SAV-ILS24-F00043-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2024-03-10,280000,mkoba,SAV-ILS24-F00044-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2024-03-10,70000,mkoba,SAV-ILS24-F00044-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2024-03-10,280000,mkoba,SAV-ILS24-F00044-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2026-02-10,2000000,nmb,SAV-ILS24-F00044-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2026-04-25,500000,nmb,SAV-ILS24-F00044-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2026-04-27,1000000,nmb,SAV-ILS24-F00044-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2026-05-08,1000000,nmb,SAV-ILS24-F00044-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2026-05-11,1500000,nmb,SAV-ILS24-F00044-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2026-05-11,2200000,nmb,SAV-ILS24-F00044-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2026-05-13,1000000,nmb,SAV-ILS24-F00044-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2026-05-15,500000,nmb,SAV-ILS24-F00044-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00044,2026-05-26,500000,nmb,SAV-ILS24-F00044-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00045,2024-03-09,290000,mkoba,SAV-ILS24-F00045-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00045,2024-03-09,110000,mkoba,SAV-ILS24-F00045-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00045,2024-08-19,340000,mkoba,SAV-ILS24-F00045-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00045,2024-08-19,60000,mkoba,SAV-ILS24-F00045-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00045,2026-04-07,2500000,nmb,SAV-ILS24-F00045-0005,Historical savings deposit (Ilboru workbook)
